p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,4,4,SchNet,4,2,F,41,DONE,1032.87841,some_value,frontier09225,1083.896319
32,4,12,EGNN,1,2,F,98,DONE,2169.10085,some_value,frontier08436,2212.689762
64,4,8,EGNN,6,2,-8494.1875,189,DONE,4341.568732,some_value,frontier09225,4667.581049
64,4,4,PNA,4,2,-10358.32031,113,DONE,2409.703662,some_value,frontier08562,2728.113465
64,2,4,SchNet,1,2,-14231.9834,60,DONE,1488.659522,some_value,frontier08436,1643.518574
32,4,4,DimeNet,1,2,-14341.9043,53,DONE,1316.455086,some_value,frontier08561,1531.421843
64,4,4,SchNet,1,2,-14408.51855,49,DONE,1247.856673,some_value,frontier08689,1401.736437
32,2,4,SchNet,1,2,-14613.82031,63,DONE,1531.621771,some_value,frontier08561,1685.664585
32,4,4,SchNet,1,2,-14939.39063,57,DONE,1401.893854,some_value,frontier08689,1555.071989
32,2,4,DimeNet,1,2,-15357.84766,91,DONE,2046.613257,some_value,frontier10138,2260.172487
64,2,4,DimeNet,1,2,-15506.86035,51,DONE,1293.942876,some_value,frontier08869,1508.610312
64,4,4,DimeNet,1,2,-15618.50781,28,DONE,703.1494694,some_value,frontier08436,918.2340965
64,4,4,EGNN,1,2,-15734.26465,23,DONE,548.9681458,some_value,frontier08436,703.0151775
64,2,4,EGNN,1,2,-16008.97656,55,DONE,1357.152126,some_value,frontier10138,1510.462737
64,4,32,PNA,5,2,-17648.48438,147,DONE,3302.713416,some_value,frontier08869,3672.187652
64,4,32,EGNN,5,2,-19204.51172,10,DONE,196.0646162,some_value,frontier08869,487.9407642
32,4,8,SchNet,1,2,-19920.39453,59,DONE,1477.835856,some_value,frontier08562,1631.702646
32,2,8,EGNN,1,2,-20093.19727,100,DONE,2214.821878,some_value,frontier09225,2369.228908
32,2,8,SchNet,1,2,-21055.25195,108,DONE,2369.548613,some_value,frontier08436,2527.1557
32,2,12,EGNN,1,2,-21082.83203,89,DONE,2013.07321,some_value,frontier10257,2166.154818
64,4,24,EGNN,1,2,-21209.01953,44,DONE,1094.779488,some_value,frontier08689,1247.670771
64,4,8,SchNet,1,2,-21547.19336,104,DONE,2260.353676,some_value,frontier10138,2415.790277
64,2,8,SchNet,1,2,-21573.94531,71,DONE,1690.539384,some_value,frontier09364,1844.821851
32,2,12,DimeNet,1,2,-21654.7793,64,DONE,1533.453701,some_value,frontier09225,1748.375548
32,2,8,DimeNet,1,2,-21667.7793,65,DONE,1555.282869,some_value,frontier08689,1768.005764
64,4,8,DimeNet,1,2,-21796.53906,96,DONE,2166.482917,some_value,frontier10257,2381.611604
64,2,8,DimeNet,1,2,-21962.30078,70,DONE,1685.866643,some_value,frontier08561,1899.480935
32,4,12,DimeNet,1,2,-22407.02734,66,DONE,1603.208671,some_value,frontier08974,1817.595653
64,2,8,EGNN,1,2,-22559.58594,95,DONE,2121.552068,some_value,frontier08974,2273.973248
32,4,12,SchNet,1,2,-23291.46094,99,DONE,2212.848516,some_value,frontier08436,2369.413742
32,2,24,EGNN,1,2,-23321.13281,118,DONE,2558.684039,some_value,frontier08689,2711.864168
32,4,24,EGNN,1,2,-23341.02539,90,DONE,2014.081003,some_value,frontier08436,2168.966004
64,2,12,EGNN,1,2,-23938.17188,124,DONE,2679.596216,some_value,frontier09225,2833.526105
32,4,24,SchNet,1,2,-24023.26953,121,DONE,2595.161933,some_value,frontier09364,2735.512361
32,2,16,SchNet,1,2,-24041.86328,185,DONE,4195.757493,some_value,frontier09225,4341.395897
64,2,24,SchNet,1,2,-24102.05273,143,DONE,3209.95759,some_value,frontier10138,3363.510821
64,2,12,SchNet,1,2,-24124.375,175,DONE,4004.466247,some_value,frontier10138,4172.883223
32,2,12,SchNet,1,2,-24496.10938,74,DONE,1748.542059,some_value,frontier09225,1905.226022
64,4,12,SchNet,1,2,-24847.99219,115,DONE,2523.243077,some_value,frontier09225,2679.435839
64,4,12,EGNN,1,2,-25264.52344,93,DONE,2060.060329,some_value,frontier09225,2214.662646
