p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,2,32,EGNN,5,2,-1560.197876,65,DONE,1120.469927,some_value,frontier06717,1319.839021
64,4,32,EGNN,5,2,-6152.799805,10,DONE,139.4007385,some_value,frontier06207,336.1058035
32,4,4,SchNet,1,2,-12632.21094,133,DONE,2191.522637,some_value,frontier05612,2310.197991
32,2,24,SchNet,1,2,-13465.93652,54,DONE,940.7730782,some_value,frontier05868,1054.726763
64,2,4,EGNN,1,2,-15029.79199,129,DONE,2128.49304,some_value,frontier06207,2240.697302
64,2,32,EGNN,6,2,-15079.00391,103,DONE,1769.269257,some_value,frontier06336,1985.403921
32,4,8,SchNet,1,2,-15118.1875,132,DONE,2185.858747,some_value,frontier08829,2299.802664
64,2,4,DimeNet,1,2,-15360.21191,149,DONE,2406.490038,some_value,frontier06463,2698.09072
64,4,4,SchNet,1,2,-15423.9707,144,DONE,2316.027,some_value,frontier08681,2430.78584
64,4,4,EGNN,1,2,-16079.49414,137,DONE,2240.884459,some_value,frontier06207,2354.88003
32,4,8,EGNN,1,2,-16276.50098,142,DONE,2301.914028,some_value,frontier08311,2416.075872
32,4,32,PNA,1,2,-16836.61328,45,DONE,795.600812,some_value,frontier06207,911.1634781
64,4,4,DimeNet,1,2,-16890.48047,147,DONE,2368.258305,some_value,frontier08892,2520.284576
32,4,24,EGNN,1,1,-20348.61914,72,DONE,1252.266635,some_value,frontier08681,1365.534288
32,2,8,EGNN,1,2,-21277.53516,155,DONE,2481.330231,some_value,frontier06207,2698.091524
64,4,8,DimeNet,1,2,-21374.69336,158,DONE,2520.457134,some_value,frontier08892,2698.09031
32,2,8,DimeNet,1,2,-22104.60938,128,DONE,2112.948023,some_value,frontier05868,2263.109006
32,2,4,SchNet,1,1,-22139.15234,119,DONE,1999.337464,some_value,frontier05868,2112.776143
32,2,12,DimeNet,1,2,-22523.76563,131,DONE,2141.287875,some_value,frontier06463,2290.702067
