p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,0,32,SchNet,5,2,-0.16700611,42,DONE,492.8448408,some_value,frontier03188,623.0610442
64,0,32,SchNet,3,2,-0.17011687,33,DONE,384.4469476,some_value,frontier03072,497.0503354
64,0,2,SchNet,5,2,-0.17038968,80,DONE,945.3089788,some_value,frontier02815,1074.574907
64,0,12,SchNet,5,2,-0.17245549,107,DONE,1319.684125,some_value,frontier01535,1449.065019
64,0,22,SchNet,2,2,-0.17621914,116,DONE,1421.981861,some_value,frontier02545,1526.390961
64,0,30,SchNet,4,2,-0.17679152,34,DONE,384.6176119,some_value,frontier02037,505.7950158
64,0,32,SchNet,6,2,-0.1787345,52,DONE,623.2528789,some_value,frontier03188,768.8756185
64,0,16,SchNet,4,2,-0.17903258,129,DONE,1558.451891,some_value,frontier02923,1681.370137
64,0,17,SchNet,4,2,-0.19086993,136,DONE,1637.745681,some_value,frontier03188,1760.349987
64,0,5,SchNet,1,2,-0.20373297,28,DONE,335.9935019,some_value,frontier01784,433.4794705
64,0,21,SchNet,6,2,-0.22267735,82,DONE,990.7185516,some_value,frontier03072,1127.747116
64,0,21,SchNet,3,2,-0.24121168,100,DONE,1204.246906,some_value,frontier02815,1320.021105
64,0,12,SchNet,3,2,-0.28463262,122,DONE,1468.396313,some_value,frontier00765,1581.798234
64,0,16,SchNet,5,2,-0.44702378,96,DONE,1178.410643,some_value,frontier02545,1308.467923
64,0,21,SchNet,5,2,-0.48503625,75,DONE,913.7675219,some_value,frontier01535,1044.16615
64,0,13,SchNet,3,2,-0.7630623,110,DONE,1331.841714,some_value,frontier02923,1444.636047
64,0,4,SchNet,1,2,-1.35153377,29,DONE,359.4057903,some_value,frontier02815,457.2728441
64,0,15,SchNet,4,2,-1.5499419,137,DONE,1646.35337,some_value,frontier01784,1768.300311
64,0,13,SchNet,2,2,-1.56164908,134,DONE,1632.070118,some_value,frontier02545,1736.92141
64,0,15,SchNet,2,2,-1.79414701,147,DONE,1768.472438,some_value,frontier01784,1872.892116
64,0,31,SchNet,3,2,-1.84544432,56,DONE,667.5202987,some_value,frontier01784,793.1473355
64,0,14,SchNet,5,2,-2.52670598,99,DONE,1201.47456,some_value,frontier02923,1331.676946
64,0,32,SchNet,1,2,-2.71319246,58,DONE,681.2798123,some_value,frontier01535,791.3507271
64,0,20,SchNet,4,2,-2.7484107,105,DONE,1296.474297,some_value,frontier01784,1417.936493
64,0,17,SchNet,6,2,-2.80021214,88,DONE,1054.364862,some_value,frontier02429,1191.79488
64,0,15,SchNet,5,2,-2.87726974,98,DONE,1191.960178,some_value,frontier02429,1321.535772
64,0,21,SchNet,1,2,-2.89779282,103,DONE,1265.355793,some_value,frontier03072,1361.360448
64,0,31,SchNet,5,2,-2.92158389,49,DONE,555.0503731,some_value,frontier02923,685.2040596
64,0,10,SchNet,4,2,-2.94707036,126,DONE,1529.355389,some_value,frontier02815,1652.160523
64,0,26,SchNet,6,2,-2.97273874,97,DONE,1181.689473,some_value,frontier01535,1319.523298
64,0,27,SchNet,6,2,-2.98633504,76,DONE,914.4979568,some_value,frontier02429,1054.199738
64,0,14,SchNet,3,2,-3.01816654,108,DONE,1320.183047,some_value,frontier02815,1432.759266
64,0,2,SchNet,1,2,-3.03060007,30,DONE,359.8376329,some_value,frontier00765,457.803602
64,0,12,SchNet,6,2,-3.03071237,130,DONE,1577.649933,some_value,frontier03072,1714.08206
64,0,30,SchNet,6,2,-3.06546307,48,DONE,543.3185155,some_value,frontier01535,681.1159344
64,0,28,SchNet,5,2,-3.07416773,46,DONE,538.0923786,some_value,frontier01784,667.3582733
64,0,22,SchNet,5,2,-3.08705187,71,DONE,830.5908251,some_value,frontier00765,960.2615337
64,0,19,SchNet,6,2,-3.16184998,84,DONE,1020.306437,some_value,frontier03188,1158.242926
64,0,22,SchNet,4,2,-3.17468071,102,DONE,1261.105234,some_value,frontier02037,1384.12995
64,0,20,SchNet,6,2,-3.18464804,86,DONE,1044.516398,some_value,frontier01535,1181.517077
64,0,24,SchNet,3,2,-3.19909,113,DONE,1384.303133,some_value,frontier02037,1496.28618
64,0,17,SchNet,5,2,-3.20786738,79,DONE,938.2305775,some_value,frontier02923,1069.44262
64,0,15,SchNet,3,2,-3.24419498,150,DONE,1796.058731,some_value,frontier01535,1909.448618
64,0,23,SchNet,4,2,-3.28155184,151,DONE,1803.118494,some_value,frontier02923,2020.033012
64,0,29,SchNet,4,2,-3.28373504,63,DONE,769.0652974,some_value,frontier03188,890.06319
64,0,19,SchNet,4,2,-3.28823781,135,DONE,1637.371507,some_value,frontier02429,1758.912556
64,0,23,SchNet,2,2,-3.2919693,125,DONE,1526.575467,some_value,frontier02545,1631.870916
64,0,24,SchNet,2,2,-3.35650396,128,DONE,1531.580547,some_value,frontier02429,1637.179063
64,0,23,SchNet,5,2,-3.37660265,74,DONE,890.4311337,some_value,frontier03188,1020.118631
64,0,18,SchNet,1,2,-3.39178705,139,DONE,1680.056892,some_value,frontier00765,1776.743532
64,0,14,SchNet,4,2,-3.39933872,140,DONE,1681.540831,some_value,frontier02923,1802.955895
64,0,11,SchNet,4,2,-3.40077114,123,DONE,1496.456362,some_value,frontier02037,1618.169477
64,0,27,SchNet,5,2,-3.40277624,47,DONE,539.2656538,some_value,frontier02429,668.8593135
64,0,18,SchNet,6,2,-3.43081975,85,DONE,1040.988551,some_value,frontier02545,1178.238722
64,0,13,SchNet,5,2,-3.44931841,104,DONE,1288.477015,some_value,frontier03188,1418.265464
64,0,31,SchNet,4,2,-3.53291321,65,DONE,791.5348094,some_value,frontier01535,913.6051714
64,0,24,SchNet,5,2,-3.54257846,73,DONE,873.375278,some_value,frontier02037,1001.747752
64,0,22,SchNet,6,2,-3.5463903,81,DONE,960.4136045,some_value,frontier00765,1100.945484
64,0,20,SchNet,2,2,-3.60886264,114,DONE,1418.12273,some_value,frontier01784,1522.56901
64,0,21,SchNet,4,2,-3.6467073,95,DONE,1175.068074,some_value,frontier01784,1296.267413
64,0,6,SchNet,5,2,-3.65438747,69,DONE,808.6898928,some_value,frontier02923,938.0809753
64,0,27,SchNet,4,2,-3.67890048,66,DONE,791.6964526,some_value,frontier02429,914.3367512
64,0,4,SchNet,5,2,-3.69625807,43,DONE,497.2620363,some_value,frontier03072,626.6566014
64,0,30,SchNet,3,2,-3.70529556,59,DONE,685.3662944,some_value,frontier02923,808.5419533
64,0,14,SchNet,6,2,-3.71890402,92,DONE,1127.916248,some_value,frontier03072,1265.193198
64,0,31,SchNet,1,2,-3.7487855,60,DONE,717.6129367,some_value,frontier02815,815.806644
64,0,12,SchNet,2,2,-3.75490355,127,DONE,1531.396577,some_value,frontier03188,1637.541463
64,0,26,SchNet,5,2,-3.81524873,68,DONE,806.4796989,some_value,frontier02545,934.9678817
64,0,32,SchNet,2,2,-3.82465816,54,DONE,635.0832596,some_value,frontier02037,750.8799222
64,0,29,SchNet,5,2,-3.8461504,45,DONE,523.8394613,some_value,frontier02545,654.3237772
64,0,10,SchNet,3,2,-3.8479917,121,DONE,1465.028559,some_value,frontier03072,1577.488249
64,0,23,SchNet,3,2,-3.85600042,109,DONE,1321.697521,some_value,frontier02429,1435.242843
64,0,24,SchNet,4,2,-3.8641181,155,DONE,1859.250018,some_value,frontier02545,2020.033419
64,0,20,SchNet,1,2,-3.86996603,143,DONE,1715.837698,some_value,frontier02037,1811.481699
64,0,18,SchNet,4,2,-3.87057304,131,DONE,1578.580875,some_value,frontier01535,1700.297812
64,0,16,SchNet,3,2,-3.87568879,106,DONE,1308.634464,some_value,frontier02545,1421.811058
64,0,17,SchNet,2,2,-3.88664579,154,DONE,1857.242435,some_value,frontier03188,2020.032791
64,0,19,SchNet,5,2,-3.89880204,94,DONE,1158.418299,some_value,frontier03188,1288.287569
64,0,30,SchNet,2,2,-3.91281033,61,DONE,720.5466347,some_value,frontier00765,830.4506512
64,0,8,SchNet,1,2,-3.96633148,31,DONE,362.1673238,some_value,frontier02923,459.3300114
64,0,18,SchNet,5,2,-3.98661494,89,DONE,1069.605501,some_value,frontier02923,1201.125396
64,0,16,SchNet,1,2,-3.99642658,146,DONE,1760.511806,some_value,frontier03188,1857.055241
64,0,11,SchNet,6,2,-4.00278187,156,DONE,1873.053933,some_value,frontier01784,2020.031898
64,0,11,SchNet,5,2,-4.03460264,120,DONE,1449.224271,some_value,frontier01535,1578.42976
64,0,10,SchNet,6,2,-4.05936909,148,DONE,1776.883953,some_value,frontier00765,2020.032585
64,0,30,SchNet,5,2,-4.06066227,44,DONE,505.9709697,some_value,frontier02037,634.8982935
64,0,22,SchNet,1,2,-4.06128025,118,DONE,1435.415511,some_value,frontier02429,1531.410615
64,0,19,SchNet,1,2,-4.08539867,141,DONE,1700.468015,some_value,frontier01535,1795.748315
64,0,21,SchNet,2,2,-4.08917713,112,DONE,1361.727508,some_value,frontier03072,1464.866878
64,0,17,SchNet,3,2,-4.09779787,101,DONE,1240.818429,some_value,frontier00765,1355.068172
64,0,9,SchNet,5,2,-4.14526463,87,DONE,1045.439912,some_value,frontier01784,1174.905694
64,0,20,SchNet,3,2,-4.14827347,111,DONE,1355.211016,some_value,frontier00765,1468.255597
64,0,31,SchNet,2,2,-4.15390491,57,DONE,669.0190146,some_value,frontier02429,791.5355458
64,0,8,SchNet,4,2,-4.17838526,144,DONE,1737.100062,some_value,frontier02545,1859.086625
64,0,22,SchNet,3,2,-4.18204689,115,DONE,1418.437101,some_value,frontier03188,1531.224475
64,0,25,SchNet,6,2,-4.2080946,91,DONE,1101.095618,some_value,frontier00765,1240.656848
64,0,12,SchNet,4,2,-4.21529865,124,DONE,1523.009858,some_value,frontier01784,1645.996532
64,0,25,SchNet,5,2,-4.28733158,70,DONE,815.9664583,some_value,frontier02815,945.1371846
64,0,16,SchNet,2,2,-4.34719658,152,DONE,1809.590743,some_value,frontier03072,2020.032152
64,0,5,SchNet,2,2,-4.36064911,38,DONE,433.6279702,some_value,frontier01784,537.9214499
64,0,9,SchNet,6,2,-4.37309217,158,DONE,1881.64905,some_value,frontier02429,2020.031502
64,0,5,SchNet,4,2,-4.46848345,39,DONE,457.442452,some_value,frontier02815,578.0932007
64,0,26,SchNet,4,2,-4.50933266,67,DONE,793.3195522,some_value,frontier01784,915.3981826
64,0,14,SchNet,2,2,-4.5318079,153,DONE,1811.688062,some_value,frontier02037,2020.033217
64,0,32,SchNet,4,2,-4.53664494,32,DONE,369.9562688,some_value,frontier03188,492.6697645
64,0,17,SchNet,1,2,-4.5391345,142,DONE,1714.27162,some_value,frontier03072,1809.384302
64,0,16,SchNet,6,2,-4.5766592,83,DONE,1001.939515,some_value,frontier02037,1139.301986
64,0,4,SchNet,4,2,-4.6386795,40,DONE,457.9415898,some_value,frontier00765,579.7437308
64,0,25,SchNet,4,2,-4.64915228,72,DONE,870.1104214,some_value,frontier03072,990.5464792
64,0,9,SchNet,4,2,-4.64916849,138,DONE,1652.323463,some_value,frontier02815,1778.579726
64,0,31,SchNet,6,2,-4.66750336,50,DONE,578.3593807,some_value,frontier02815,717.4412231
64,0,12,SchNet,1,2,-4.68051434,132,DONE,1581.94838,some_value,frontier00765,1679.902047
64,0,29,SchNet,6,2,-4.73683167,51,DONE,579.8965957,some_value,frontier00765,720.407979
64,0,2,SchNet,6,2,-4.77080059,55,DONE,654.4959691,some_value,frontier02545,806.3104181
64,0,4,SchNet,3,2,-4.79446125,35,DONE,410.3257444,some_value,frontier02545,523.6562488
64,0,3,SchNet,1,2,-4.86542892,25,DONE,312.8783162,some_value,frontier02545,410.1351297
64,0,13,SchNet,4,2,-5.03512859,145,DONE,1759.088163,some_value,frontier02429,1881.476426
64,0,30,SchNet,1,2,-5.12825394,64,DONE,774.7252536,some_value,frontier03072,869.906492
64,0,28,SchNet,4,2,-5.14378643,62,DONE,751.2223008,some_value,frontier02037,873.1869264
64,0,29,SchNet,3,2,-5.16325665,37,DONE,430.1611512,some_value,frontier01535,543.1599607
