p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,4,32,PAINN,6,1,-0.01014211,88,DONE,2592.708528,some_value,frontier05944,2986.545007
64,2,32,PAINN,6,1,-0.01038181,36,DONE,851.8487287,some_value,frontier05944,1235.082798
32,4,32,PAINN,5,1,-0.0104934,77,DONE,2237.766191,some_value,frontier05944,2592.535615
32,4,32,PAINN,6,2,-0.01050835,117,DONE,3578.941649,some_value,frontier06313,3974.468101
32,2,32,PAINN,6,2,-0.01057068,34,DONE,805.5819929,some_value,frontier05073,1189.75273
64,2,32,PAINN,6,2,-0.01062946,73,DONE,2124.161875,some_value,frontier05688,2506.252093
32,2,32,PAINN,4,2,-0.0107536,90,DONE,2672.260348,some_value,frontier06313,2984.438282
32,4,32,PAINN,4,2,-0.01080786,86,DONE,2574.685889,some_value,frontier06185,2892.138905
64,2,32,PAINN,4,2,-0.01111551,71,DONE,2054.98656,some_value,frontier05820,2366.080144
64,4,32,PAINN,5,2,-0.01114757,151,DONE,4573.502252,some_value,frontier05944,5101.003202
32,4,24,PAINN,6,1,-0.01128619,70,DONE,2042.297828,some_value,frontier05580,2435.828493
32,2,24,PAINN,5,2,-0.01129402,81,DONE,2394.964634,some_value,frontier05446,2741.291502
64,4,24,PAINN,6,1,-0.01135278,65,DONE,1843.594958,some_value,frontier05944,2237.598617
32,4,32,PAINN,4,1,-0.01136294,100,DONE,3001.273022,some_value,frontier05820,3317.623775
32,2,32,PAINN,5,1,-0.01144742,64,DONE,1838.250647,some_value,frontier06065,2181.928866
64,2,32,PAINN,5,2,-0.01147043,74,DONE,2146.855558,some_value,frontier05320,2492.957206
64,2,24,PAINN,6,2,-0.01170574,7,DONE,0.053558111,some_value,frontier06065,396.9486053
64,4,32,PAINN,5,1,-0.01172813,89,DONE,2645.843303,some_value,frontier05820,3001.092545
64,4,32,PAINN,3,1,-0.01176784,80,DONE,2366.241327,some_value,frontier05820,2645.674271
64,2,32,PAINN,4,1,-0.01177611,40,DONE,1062.266109,some_value,frontier06313,1370.034473
64,4,24,PAINN,6,2,-0.01179951,19,DONE,409.2768714,some_value,frontier05073,805.4451745
32,4,32,PAINN,5,2,-0.0118016,79,DONE,2316.177446,some_value,frontier06313,2672.109259
64,4,32,PAINN,4,1,-0.01188812,78,DONE,2258.606442,some_value,frontier06185,2574.525175
64,4,24,PAINN,4,1,-0.01189586,140,DONE,4253.332215,some_value,frontier05073,4572.595443
64,4,32,PAINN,6,1,-0.01204163,104,DONE,3169.548213,some_value,frontier05688,3561.584057
32,4,32,PAINN,3,1,-0.0121267,142,DONE,4327.535818,some_value,frontier05820,4606.184741
