p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,0,31,PAINN,6,1,-0.01055933,69,DONE,1506.103169,some_value,frontier02288,1774.317454
64,0,31,PAINN,6,2,-0.01095173,98,DONE,2204.891137,some_value,frontier00878,2474.577541
64,0,30,PAINN,5,2,-0.01117559,48,DONE,1017.48145,some_value,frontier01900,1270.012428
64,0,30,PAINN,6,1,-0.01125904,31,DONE,571.000973,some_value,frontier01519,839.9602861
32,0,30,PAINN,6,1,-0.01129473,46,DONE,996.4457047,some_value,frontier00878,1266.625081
64,0,32,PAINN,6,1,-0.01140151,27,DONE,475.278918,some_value,frontier00878,745.2625186
64,0,31,PAINN,6,1,-0.01140194,30,DONE,567.7304537,some_value,frontier01006,834.6912634
64,0,30,PAINN,6,2,-0.01147061,32,DONE,574.6046679,some_value,frontier02034,844.3267415
64,0,31,PAINN,5,2,-0.01151195,52,DONE,1093.818134,some_value,frontier02034,1344.141678
32,0,31,PAINN,6,2,-0.01156265,83,DONE,1774.516356,some_value,frontier02288,2043.332516
64,0,26,PAINN,6,2,-0.01161212,113,DONE,2555.472626,some_value,frontier02034,2825.333626
32,0,32,PAINN,4,1,-0.01171256,53,DONE,1103.432995,some_value,frontier01389,1334.922283
64,0,29,PAINN,5,2,-0.011718,49,DONE,1022.895795,some_value,frontier02288,1273.505941
32,0,29,PAINN,6,2,-0.0117326,92,DONE,2027.163949,some_value,frontier01389,2296.606735
32,0,32,PAINN,5,1,-0.01174211,40,DONE,834.8629949,some_value,frontier01006,1082.722052
32,0,29,PAINN,6,1,-0.01175507,87,DONE,1964.61171,some_value,frontier01519,2232.353751
64,0,32,PAINN,6,2,-0.01178529,95,DONE,2141.524575,some_value,frontier01773,2412.14786
64,0,29,PAINN,6,1,-0.01181077,33,DONE,582.3499658,some_value,frontier01389,851.6066768
64,0,30,PAINN,5,1,-0.01182385,39,DONE,772.9639077,some_value,frontier02288,1022.43626
