p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,2,32,DimeNet,1,2,-0.1455324,44,DONE,1773.740288,some_value,frontier08181,2105.58106
64,2,24,DimeNet,1,2,-0.16820735,49,DONE,2059.06663,some_value,frontier03446,2389.893897
64,2,32,DimeNet,5,2,-0.16942933,105,DONE,4345.017777,some_value,frontier09216,4938.220328
64,4,24,DimeNet,1,2,-0.17400929,57,DONE,2396.760155,some_value,frontier03697,2726.038493
64,4,32,DimeNet,2,1,-0.17617433,98,DONE,4012.88609,some_value,frontier08181,4410.685982
64,4,32,DimeNet,2,2,-0.17769954,53,DONE,2117.946188,some_value,frontier08308,2508.660815
64,4,24,DimeNet,2,1,-0.18389255,77,DONE,3089.665682,some_value,frontier10214,3483.23824
64,4,32,PNA,3,2,-0.18501791,124,DONE,5301.971146,some_value,frontier09329,5673.191986
64,2,24,DimeNet,4,1,-0.18584365,102,DONE,4142.887495,some_value,frontier03446,4670.919377
64,4,16,DimeNet,2,2,-0.18626189,67,DONE,2726.184436,some_value,frontier03697,3118.225156
64,4,24,DimeNet,3,2,-0.18715765,152,DONE,6458.687525,some_value,frontier09329,6915.877642
64,4,12,DimeNet,3,2,-0.19036549,83,DONE,3224.34146,some_value,frontier03446,3683.831406
64,4,32,DimeNet,4,1,-0.19227338,111,DONE,4653.395677,some_value,frontier09057,5177.087979
64,4,32,PNA,4,1,-0.19243664,126,DONE,5365.521176,some_value,frontier08181,5783.352346
64,4,12,DimeNet,1,2,-0.19281197,72,DONE,2811.017092,some_value,frontier09057,3142.619973
64,2,24,DimeNet,3,1,-0.19304848,96,DONE,4005.936449,some_value,frontier10214,4470.53519
64,2,16,DimeNet,5,1,-0.19435251,103,DONE,4276.179192,some_value,frontier09068,4864.96029
64,4,16,DimeNet,3,2,-0.19450226,84,DONE,3362.550002,some_value,frontier09068,3818.510218
64,2,24,DimeNet,5,2,-0.19497326,88,DONE,3448.686461,some_value,frontier03697,4036.953854
64,2,24,DimeNet,2,2,-0.19577658,129,DONE,5481.28753,some_value,frontier09439,5880.85033
64,4,32,PNA,6,2,-0.19656695,9,DONE,0.055301428,some_value,frontier10214,529.0046253
64,4,32,DimeNet,1,1,-0.19758084,155,DONE,6583.643183,some_value,frontier09439,6910.713885
64,4,24,PNA,3,1,-0.19790846,131,DONE,5673.35434,some_value,frontier09329,6041.641438
64,2,32,PNA,3,2,-0.19820762,140,DONE,6022.885839,some_value,frontier09216,6391.52121
64,4,16,DimeNet,1,2,-0.19912456,80,DONE,3118.384166,some_value,frontier03697,3448.525424
64,4,32,DimeNet,1,2,-0.20259762,52,DONE,2105.750954,some_value,frontier08181,2435.50388
64,4,32,PNA,4,2,-0.20336074,122,DONE,5210.218389,some_value,frontier09216,5629.943321
64,4,32,PNA,3,1,-0.20358074,128,DONE,5479.165211,some_value,frontier08308,5845.397454
64,2,24,DimeNet,6,2,-0.20460281,7,DONE,0.055074453,some_value,frontier09329,661.9730856
64,4,32,PNA,2,1,-0.20606607,153,DONE,6486.56614,some_value,frontier03697,6805.222308
64,2,32,DimeNet,4,1,-0.20667499,101,DONE,4124.625554,some_value,frontier09057,4653.247767
64,4,12,DimeNet,3,1,-0.20699209,97,DONE,4012.243042,some_value,frontier08308,4473.50563
64,2,32,DimeNet,6,1,-0.20704055,115,DONE,4832.278981,some_value,frontier08308,5479.000881
64,2,32,DimeNet,2,1,-0.20711705,158,DONE,6684.261885,some_value,frontier03446,7077.981429
64,4,24,DimeNet,3,1,-0.20793308,92,DONE,3666.317911,some_value,frontier09057,4124.464939
32,4,24,PNA,4,2,-0.2079736,65,DONE,2590.198333,some_value,frontier09216,3005.91722
64,4,12,DimeNet,2,1,-0.20867208,85,DONE,3370.395691,some_value,frontier09216,3759.284115
