p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,0,30,PNA,5,2,-0.19034049,94,DONE,1990.948501,some_value,frontier03967,2215.486635
64,0,29,PNA,4,2,-0.1931439,129,DONE,2734.278463,some_value,frontier02158,2940.655624
32,0,20,PNA,6,2,-0.19497073,87,DONE,1839.76008,some_value,frontier00754,2077.293606
64,0,23,PNA,6,2,-0.19506213,85,DONE,1764.079602,some_value,frontier02797,1997.85185
64,0,15,PNA,6,2,-0.1953665,34,DONE,625.5366516,some_value,frontier03443,863.5485156
64,0,27,PNA,4,2,-0.19622055,134,DONE,2805.964638,some_value,frontier01013,3012.054626
64,0,29,PNA,3,2,-0.19725755,141,DONE,2955.49493,some_value,frontier03064,3146.370117
32,0,19,PNA,6,2,-0.19812454,55,DONE,1089.546975,some_value,frontier02797,1323.745627
64,0,23,PNA,3,2,-0.19921407,146,DONE,3067.613103,some_value,frontier03967,3261.771539
64,0,32,PNA,3,2,-0.19929607,138,DONE,2902.244581,some_value,frontier01138,3094.585652
64,0,16,PNA,6,2,-0.20192397,33,DONE,597.7574229,some_value,frontier03967,834.6509676
32,0,26,PNA,5,2,-0.20261216,97,DONE,2043.361385,some_value,frontier01138,2265.665721
64,0,13,PNA,6,2,-0.20300515,36,DONE,692.4191594,some_value,frontier01138,929.0362492
64,0,20,PNA,3,2,-0.20563218,158,DONE,3286.955874,some_value,frontier01138,3483.87365
32,0,21,PNA,6,2,-0.20679289,83,DONE,1699.801765,some_value,frontier01013,1937.642236
64,0,20,PNA,6,2,-0.21037903,9,DONE,0.052746296,some_value,frontier03967,244.2067859
64,0,10,PNA,6,2,-0.21101412,31,DONE,552.1364121,some_value,frontier01013,797.6075053
64,0,21,PNA,4,2,-0.21224275,126,DONE,2639.212909,some_value,frontier03967,2846.225607
32,0,28,PNA,5,2,-0.21255769,99,DONE,2077.63209,some_value,frontier00754,2300.634482
64,0,21,PNA,6,2,-0.21276613,135,DONE,2829.314218,some_value,frontier02933,3065.16139
64,0,20,PNA,4,2,-0.21414885,113,DONE,2392.514725,some_value,frontier01013,2598.271002
32,0,32,PNA,6,2,-0.21416074,90,DONE,1853.722612,some_value,frontier03064,2090.321378
32,0,20,PNA,4,2,-0.21491432,69,DONE,1444.189581,some_value,frontier00755,1650.514201
64,0,24,PNA,3,2,-0.2151096,130,DONE,2742.378183,some_value,frontier00755,2934.124579
64,0,30,PNA,3,2,-0.21544325,139,DONE,2934.286491,some_value,frontier00755,3126.481686
64,0,25,PNA,3,2,-0.21582243,147,DONE,3083.827066,some_value,frontier03443,3275.85273
64,0,22,PNA,4,2,-0.21593088,125,DONE,2621.101645,some_value,frontier02933,2829.160281
32,0,32,PNA,4,2,-0.21638978,68,DONE,1421.635657,some_value,frontier00754,1630.961615
64,0,24,PNA,6,2,-0.21717539,79,DONE,1650.715781,some_value,frontier00755,1886.167986
64,0,22,PNA,3,2,-0.2172702,155,DONE,3261.981256,some_value,frontier03967,3483.874376
32,0,24,PNA,3,2,-0.21764089,73,DONE,1487.905377,some_value,frontier02158,1681.585653
64,0,19,PNA,5,2,-0.21781957,30,DONE,550.0806036,some_value,frontier00755,780.1090021
32,0,30,PNA,4,2,-0.21895522,115,DONE,2432.599165,some_value,frontier03967,2639.039037
64,0,29,PNA,5,2,-0.21921892,152,DONE,3195.212065,some_value,frontier00754,3483.87542
64,0,15,PNA,5,2,-0.21964313,120,DONE,2513.190359,some_value,frontier02158,2734.104246
64,0,14,PNA,5,2,-0.22024505,49,DONE,986.769711,some_value,frontier00754,1211.4328
64,0,26,PNA,4,2,-0.2213261,124,DONE,2598.99608,some_value,frontier02797,2804.666897
32,0,18,PNA,6,2,-0.22245409,64,DONE,1323.919122,some_value,frontier02797,1558.694596
64,0,25,PNA,4,2,-0.22268641,127,DONE,2653.584865,some_value,frontier03443,2875.87039
64,0,29,PNA,2,2,-0.22337614,150,DONE,3146.721995,some_value,frontier03064,3483.874111
32,0,31,PNA,5,2,-0.22353956,93,DONE,1937.782045,some_value,frontier01013,2157.639198
32,0,31,PNA,3,2,-0.22402969,71,DONE,1467.5851,some_value,frontier03064,1659.561931
