p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,4,4,EGNN,2,2,-88.14508057,104,DONE,3805.788745,some_value,frontier06387,3997.610096
32,4,32,DimeNet,2,2,-96.67060852,126,DONE,4348.253707,some_value,frontier06769,4633.534229
64,4,4,EGNN,4,2,-98.95917511,118,DONE,4209.04966,some_value,frontier07662,4468.519437
64,4,4,EGNN,1,2,-107.4065704,111,DONE,3997.747106,some_value,frontier06387,4156.960922
64,4,4,EGNN,1,1,-118.4174042,116,DONE,4157.09853,some_value,frontier06387,4313.877691
64,2,4,SchNet,2,2,-122.2351456,2,DONE,0.054122925,some_value,frontier06769,202.5945811
32,4,4,DimeNet,2,2,-142.1619415,84,DONE,3058.565581,some_value,frontier07534,3338.566527
64,2,16,DimeNet,3,2,-143.4082336,173,DONE,5572.828002,some_value,frontier06651,5921.537595
32,4,4,PNA,2,1,-164.2674255,115,DONE,4120.329013,some_value,frontier08047,4347.790155
32,2,4,DimeNet,2,2,-167.5263672,112,DONE,4000.894323,some_value,frontier07533,4287.450243
32,4,12,SchNet,4,2,-179.2265625,100,DONE,3703.562369,some_value,frontier07662,3966.942977
64,4,24,DimeNet,2,2,-189.2303314,174,DONE,5595.404495,some_value,frontier07791,5875.12078
32,4,12,SchNet,6,2,-216.8417206,83,DONE,3051.743025,some_value,frontier07662,3377.138899
32,2,24,DimeNet,5,2,-242.4844666,195,DONE,6142.994094,some_value,frontier08047,6620.090339
32,4,32,DimeNet,3,2,-249.7474365,25,DONE,670.4248087,some_value,frontier06651,1646.634761
32,4,16,DimeNet,3,2,-253.5642548,24,DONE,628.6048625,some_value,frontier08047,1552.627624
64,2,24,DimeNet,5,2,-258.2239685,165,DONE,5382.649163,some_value,frontier08047,5861.27027
32,4,4,SchNet,1,1,-263.8227539,129,DONE,4448.517419,some_value,frontier07918,4604.316372
64,4,16,SchNet,4,2,-269.0136719,128,DONE,4417.781624,some_value,frontier07789,4679.068684
32,4,12,SchNet,3,2,-275.0997925,109,DONE,3967.101848,some_value,frontier07662,4208.862549
