p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,4,16,DimeNet,2,1,-89.28262329,8,DONE,0.053453684,some_value,frontier09056,200.0623524
32,2,4,DimeNet,3,2,-112.0187683,135,DONE,2467.61249,some_value,frontier08297,2697.048713
32,4,16,EGNN,3,2,-137.2172394,61,DONE,1052.995423,some_value,frontier08171,1212.099843
64,2,4,SchNet,2,2,-152.2648926,2,DONE,0.052797556,some_value,frontier08297,144.6414115
64,2,4,EGNN,4,2,-170.8084106,156,DONE,2868.316766,some_value,frontier08805,3047.20924
64,4,4,SchNet,2,2,-175.1194763,123,DONE,2263.828194,some_value,frontier08553,2400.860434
32,2,4,DimeNet,2,2,-179.4599609,120,DONE,2175.790884,some_value,frontier08893,2366.325729
64,2,4,SchNet,1,2,-197.0769196,43,DONE,817.9531951,some_value,frontier08893,920.8778105
32,2,4,EGNN,1,2,-206.5108948,107,DONE,1904.019345,some_value,frontier08297,2021.091383
64,4,4,DimeNet,1,2,-220.2546234,54,DONE,961.4299221,some_value,frontier08553,1113.042275
64,2,4,DimeNet,3,1,-221.711792,149,DONE,2720.653998,some_value,frontier08425,3047.208246
64,4,4,EGNN,1,2,-246.0180054,55,DONE,974.5508692,some_value,frontier09056,1092.203058
64,2,4,EGNN,3,1,-252.4880981,158,DONE,2884.499378,some_value,frontier08893,3047.209627
32,2,4,PNA,2,2,-258.4539795,138,DONE,2503.846974,some_value,frontier08893,2664.396337
64,2,4,EGNN,2,2,-297.7659912,136,DONE,2476.301642,some_value,frontier08677,2612.489652
32,4,24,DimeNet,3,1,-299.1995544,22,DONE,356.6665967,some_value,frontier08805,586.5149879
32,2,4,SchNet,2,2,-315.3242188,126,DONE,2330.090708,some_value,frontier08297,2467.452603
32,4,24,DimeNet,3,2,-328.6558228,60,DONE,1049.605545,some_value,frontier08041,1283.346818
32,2,4,DimeNet,4,2,-336.8189697,144,DONE,2594.464569,some_value,frontier08171,2864.448262
32,4,24,EGNN,2,2,-365.1014099,50,DONE,906.0113409,some_value,frontier08677,1042.261636
32,4,24,PNA,3,2,-365.8073731,66,DONE,1113.21883,some_value,frontier08553,1304.752515
32,4,4,DimeNet,3,2,-389.9631348,154,DONE,2809.038972,some_value,frontier08677,3047.208457
32,2,4,DimeNet,3,1,-391.5727234,137,DONE,2493.452752,some_value,frontier08425,2720.496859
32,4,16,DimeNet,3,1,-394.900238,20,DONE,352.5943954,some_value,frontier08041,583.8138344
32,4,16,DimeNet,3,2,-402.0647583,70,DONE,1231.270639,some_value,frontier08805,1463.552182
32,2,4,SchNet,1,2,-423.1725769,82,DONE,1437.39508,some_value,frontier08041,1557.126025
64,2,4,EGNN,1,2,-432.1090088,56,DONE,984.9548638,some_value,frontier09214,1102.977948
32,2,4,EGNN,3,1,-444.6164551,153,DONE,2783.495895,some_value,frontier08041,3047.208655
32,2,12,DimeNet,2,1,-489.2896118,142,DONE,2590.232242,some_value,frontier08041,2783.355752
32,4,4,DimeNet,1,2,-503.0769959,53,DONE,939.1142483,some_value,frontier08805,1091.391412
32,2,4,EGNN,3,2,-537.3068237,150,DONE,2726.246785,some_value,frontier09214,2884.814041
32,2,4,EGNN,4,1,-542.088501,155,DONE,2864.621675,some_value,frontier08171,3047.209044
32,4,24,DimeNet,2,2,-547.7886963,47,DONE,856.0521781,some_value,frontier08425,1046.018782
32,4,32,DimeNet,3,2,-551.2536621,112,DONE,1990.365345,some_value,frontier08041,2225.352743
32,4,32,DimeNet,4,2,-572.6508179,95,DONE,1648.381935,some_value,frontier09214,1922.222734
32,4,32,EGNN,2,2,-583.4467773,94,DONE,1645.331026,some_value,frontier08677,1783.812637
32,2,16,DimeNet,3,1,-592.2973633,25,DONE,434.3370407,some_value,frontier08171,664.5278025
32,4,4,EGNN,1,2,-599.5760498,105,DONE,1845.357781,some_value,frontier08425,1960.643755
32,4,16,DimeNet,4,1,-600.8417969,21,DONE,354.0918257,some_value,frontier08893,621.028481
32,2,4,EGNN,2,2,-620.0874023,131,DONE,2366.48993,some_value,frontier08893,2503.686808
64,2,4,PNA,1,1,-622.5610352,46,DONE,854.0652862,some_value,frontier09214,984.7941892
32,2,4,EGNN,4,2,-675.0142822,147,DONE,2697.209533,some_value,frontier08297,2875.149897
64,2,4,DimeNet,2,2,-699.3514404,31,DONE,586.6835809,some_value,frontier08805,778.2644703
32,4,12,DimeNet,2,1,-719.1497803,23,DONE,360.9489088,some_value,frontier09056,553.5072825
32,2,4,PNA,1,2,-728.1287231,130,DONE,2362.983549,some_value,frontier08425,2493.293535
32,2,24,PNA,4,2,-740.1751709,88,DONE,1546.56694,some_value,frontier08297,1766.945967
32,2,16,DimeNet,2,1,-785.7853394,57,DONE,1010.415826,some_value,frontier08297,1200.566194
64,2,4,EGNN,3,2,-813.5880127,152,DONE,2781.854436,some_value,frontier08553,3047.207912
32,4,24,SchNet,3,2,-849.3094482,90,DONE,1557.261102,some_value,frontier08041,1716.543997
32,4,24,DimeNet,2,1,-849.4049072,68,DONE,1203.225109,some_value,frontier08425,1393.400644
64,4,4,SchNet,1,2,-888.2697144,98,DONE,1728.864096,some_value,frontier08425,1845.209102
32,4,4,SchNet,2,2,-939.3394775,33,DONE,613.3906376,some_value,frontier08677,749.422744
32,4,32,SchNet,3,2,-979.1341553,93,DONE,1642.917655,some_value,frontier08805,1800.980779
64,4,8,DimeNet,1,2,-982.0235596,67,DONE,1200.710639,some_value,frontier08297,1354.014628
32,2,12,EGNN,4,1,-1003.924072,5,DONE,0.053121328,some_value,frontier08677,184.1257715
64,4,32,EGNN,5,2,-1032.305786,10,DONE,143.8050051,some_value,frontier08553,343.6227593
32,4,24,PNA,4,2,-1070.203491,78,DONE,1370.936052,some_value,frontier09056,1593.702645
32,4,8,DimeNet,1,2,-1074.885742,129,DONE,2361.218212,some_value,frontier08805,2514.757463
32,2,16,DimeNet,5,1,-1075.830688,114,DONE,2027.240522,some_value,frontier09056,2336.333732
32,4,24,SchNet,3,1,-1105.598022,92,DONE,1599.159966,some_value,frontier08893,1754.466467
32,4,32,DimeNet,1,2,-1121.993164,141,DONE,2572.026079,some_value,frontier09214,2726.086535
64,2,4,SchNet,2,1,-1165.639893,38,DONE,741.4064124,some_value,frontier08297,878.5321038
32,4,16,EGNN,2,1,-1177.419189,71,DONE,1232.122494,some_value,frontier09056,1370.787439
64,2,4,SchNet,3,2,-1202.876709,32,DONE,599.2145844,some_value,frontier08425,754.5328479
64,2,4,SchNet,1,1,-1208.234619,41,DONE,754.6999977,some_value,frontier08425,855.906301
32,4,16,DimeNet,2,2,-1216.777344,58,DONE,1042.418489,some_value,frontier08677,1233.720223
32,4,24,SchNet,4,1,-1287.508301,84,DONE,1463.709138,some_value,frontier08805,1642.73524
64,4,8,EGNN,1,2,-1369.153076,134,DONE,2452.744207,some_value,frontier09214,2571.861358
32,2,32,DimeNet,4,2,-1476.21582,101,DONE,1783.968762,some_value,frontier08677,2051.954863
32,2,4,PNA,4,2,-1520.968018,146,DONE,2664.562971,some_value,frontier08893,2884.340312
32,4,32,DimeNet,5,2,-1527.988403,103,DONE,1801.138765,some_value,frontier08805,2110.446426
32,4,32,PNA,3,2,-1531.291016,99,DONE,1754.667705,some_value,frontier08893,1945.198168
32,2,16,SchNet,3,2,-1565.234375,79,DONE,1372.178683,some_value,frontier08171,1531.518642
64,2,4,DimeNet,6,2,-1573.463867,19,DONE,343.7803299,some_value,frontier08553,688.0106926
32,4,16,DimeNet,4,2,-1594.586426,86,DONE,1531.686882,some_value,frontier08171,1800.820848
64,2,4,PNA,2,1,-1654.331787,42,DONE,778.4224255,some_value,frontier08805,938.9499028
64,4,4,DimeNet,2,2,-1703.772461,116,DONE,2073.39553,some_value,frontier08553,2263.673082
32,2,4,DimeNet,6,2,-1726.100098,6,DONE,0.053223848,some_value,frontier08805,356.5095224
32,2,16,DimeNet,3,2,-1771.2771,76,DONE,1304.919183,some_value,frontier08553,1534.926927
32,4,8,DimeNet,3,1,-1869.041992,28,DONE,512.8778076,some_value,frontier08297,741.2475483
32,4,12,EGNN,3,2,-1916.745483,69,DONE,1212.257187,some_value,frontier08171,1371.870026
64,4,8,SchNet,2,1,-1919.562134,4,DONE,0.053018093,some_value,frontier08553,143.7622008
32,2,4,DimeNet,2,1,-1920.1073,132,DONE,2401.048689,some_value,frontier08553,2591.090388
32,2,24,DimeNet,4,2,-1931.94519,96,DONE,1716.807054,some_value,frontier08041,1990.102908
64,4,4,DimeNet,1,1,-1939.805542,75,DONE,1283.493808,some_value,frontier08041,1437.259907
64,4,4,SchNet,5,2,-1941.454834,34,DONE,621.1831355,some_value,frontier08893,817.7799525
32,2,16,EGNN,3,2,-1941.640137,83,DONE,1440.86789,some_value,frontier08893,1598.967269
32,4,16,PNA,6,1,-1972.192383,13,DONE,184.1540177,some_value,frontier08677,461.6601014
64,2,4,PNA,1,2,-2012.802002,49,DONE,878.686707,some_value,frontier08297,1010.267426
32,4,16,EGNN,3,1,-2067.001465,125,DONE,2293.462979,some_value,frontier09214,2452.575334
32,4,4,SchNet,3,2,-2069.814697,36,DONE,688.1692317,some_value,frontier08553,845.20807
32,4,12,DimeNet,4,1,-2082.003906,117,DONE,2096.841277,some_value,frontier08425,2362.813003
64,2,4,SchNet,5,2,-2117.866211,35,DONE,664.6937034,some_value,frontier08171,861.5304599
32,4,24,EGNN,3,2,-2146.838379,59,DONE,1046.167028,some_value,frontier08425,1203.067908
64,2,8,SchNet,2,2,-2149.030762,51,DONE,910.525316,some_value,frontier08041,1049.469899
32,4,16,PNA,3,2,-2155.496094,72,DONE,1233.878771,some_value,frontier08677,1424.868792
32,2,16,PNA,2,1,-2180.89502,30,DONE,583.950418,some_value,frontier08041,746.5465016
32,4,16,DimeNet,1,1,-2273.581055,37,DONE,701.5742941,some_value,frontier09214,853.9093106
64,4,4,PNA,2,2,-2406.213867,148,DONE,2705.945276,some_value,frontier08805,2868.156935
64,4,4,DimeNet,3,2,-2441.322266,115,DONE,2052.113924,some_value,frontier08677,2282.307505
64,4,32,SchNet,2,1,-2445.426758,18,DONE,298.2525623,some_value,frontier08171,434.1718428
32,4,32,DimeNet,3,1,-2562.742188,24,DONE,372.0696702,some_value,frontier08425,599.0619783
32,4,24,DimeNet,4,2,-2648.898438,91,DONE,1593.901887,some_value,frontier09056,1864.161413
32,2,16,DimeNet,1,1,-2682.939941,44,DONE,822.5286925,some_value,frontier09056,974.3545763
32,4,32,SchNet,2,2,-2865.459473,102,DONE,1800.98,some_value,frontier08171,1939.237556
32,2,4,SchNet,1,1,-2884.50708,45,DONE,845.3645406,some_value,frontier08553,961.2323513
32,2,24,DimeNet,2,1,-2904.401367,48,DONE,861.6872997,some_value,frontier08171,1052.657703
32,4,24,EGNN,2,1,-2951.361572,111,DONE,1960.802605,some_value,frontier08425,2096.692269
32,4,4,EGNN,2,2,-2972.869629,62,DONE,1091.587238,some_value,frontier08805,1231.111319
64,4,32,DimeNet,3,2,-2976.979004,108,DONE,1922.381315,some_value,frontier09214,2154.279655
32,2,12,DimeNet,3,1,-2994.72168,140,DONE,2530.178629,some_value,frontier09056,2761.409621
64,4,32,EGNN,2,1,-3209.642578,15,DONE,236.6290023,some_value,frontier08425,371.9157267
32,4,16,EGNN,4,2,-3297.032715,85,DONE,1468.093564,some_value,frontier09214,1648.224701
32,2,24,PNA,3,2,-3458.709717,87,DONE,1535.082885,some_value,frontier08553,1726.603485
64,2,4,SchNet,3,1,-3569.348145,40,DONE,749.5911152,some_value,frontier08677,905.854121
32,2,8,DimeNet,2,1,-3591.947266,139,DONE,2514.905625,some_value,frontier08805,2705.785883
32,2,16,PNA,3,2,-3647.900391,73,DONE,1249.1393,some_value,frontier08893,1440.698855
32,2,8,DimeNet,2,2,-3671.682373,127,DONE,2336.495263,some_value,frontier09056,2530.0319
32,4,32,DimeNet,4,1,-3758.722412,109,DONE,1939.384378,some_value,frontier08171,2210.960071
64,4,16,SchNet,1,2,-3815.064453,11,DONE,144.7274945,some_value,frontier08297,262.9112434
32,4,24,PNA,4,1,-3918.08252,81,DONE,1425.028087,some_value,frontier08677,1645.171492
32,4,16,DimeNet,5,1,-3952.005371,113,DONE,2021.263612,some_value,frontier08297,2329.760124
64,4,32,EGNN,3,1,-4081.480957,1,DONE,0.05265379,some_value,frontier08171,165.7941406
32,4,24,PNA,3,1,-4102.401367,121,DONE,2211.108441,some_value,frontier08171,2401.674736
32,2,12,PNA,1,2,-4288.278809,12,DONE,165.8222384,some_value,frontier08171,298.2257288
64,2,8,EGNN,4,2,-4337.213867,17,DONE,290.7433712,some_value,frontier09214,470.0976024
64,4,16,DimeNet,3,2,-4384.058105,110,DONE,1945.359976,some_value,frontier08893,2175.628711
32,2,16,EGNN,4,2,-4399.145508,89,DONE,1551.017757,some_value,frontier08425,1728.690306
64,2,24,DimeNet,6,2,-4759.144531,7,DONE,0.053346157,some_value,frontier08893,353.936851
32,4,24,SchNet,5,2,-4784.637695,145,DONE,2612.79874,some_value,frontier08677,2808.87185
32,2,24,EGNN,2,2,-5033.963379,100,DONE,1767.128848,some_value,frontier08297,1903.86136
32,2,24,DimeNet,3,1,-5122.154297,128,DONE,2358.613722,some_value,frontier08041,2590.095223
64,4,24,DimeNet,3,2,-5323.503906,104,DONE,1843.321095,some_value,frontier08553,2073.246641
64,4,32,PNA,6,2,-5530.148926,9,DONE,0.053552866,some_value,frontier09214,290.7162142
32,4,12,DimeNet,3,1,-5531.195313,27,DONE,470.2519102,some_value,frontier09214,701.4157381
32,4,24,EGNN,1,2,-5559.675781,97,DONE,1726.803799,some_value,frontier08553,1843.172382
32,2,32,EGNN,2,2,-5600.296387,119,DONE,2154.426535,some_value,frontier09214,2293.291709
32,4,32,PNA,2,2,-5678.857422,106,DONE,1864.30799,some_value,frontier09056,2027.050767
32,4,8,DimeNet,2,2,-5690.341309,133,DONE,2401.873039,some_value,frontier08171,2594.293548
32,4,12,DimeNet,1,1,-6197.766602,26,DONE,461.7948403,some_value,frontier08677,613.2570405
32,4,16,SchNet,3,2,-6310.111328,80,DONE,1393.559312,some_value,frontier08425,1550.855852
64,4,8,PNA,5,2,-6361.144531,16,DONE,262.9382815,some_value,frontier08297,512.7308512
32,4,12,EGNN,2,2,-6627.262695,63,DONE,1092.406872,some_value,frontier09056,1231.96358
32,4,12,PNA,3,2,-6991.221191,77,DONE,1354.180506,some_value,frontier08297,1546.409707
64,2,16,PNA,2,1,-7533.224121,14,DONE,200.2674172,some_value,frontier09056,360.7929504
32,2,24,PNA,5,2,-7898.146484,118,DONE,2110.605026,some_value,frontier08805,2361.055997
32,4,12,DimeNet,6,1,-8191.041016,0,DONE,0.052393675,some_value,frontier08041,352.4611876
32,4,24,PNA,2,2,-8618.262695,64,DONE,1103.183574,some_value,frontier09214,1265.933865
64,2,8,PNA,1,1,-9952.165039,122,DONE,2225.491224,some_value,frontier08041,2358.452591
64,4,16,DimeNet,2,1,-12208.86719,52,DONE,921.04461,some_value,frontier08893,1110.616713
32,4,16,EGNN,5,2,-14231.40039,74,DONE,1266.090059,some_value,frontier09214,1467.933362
32,4,16,EGNN,2,2,-15831.06055,65,DONE,1110.799324,some_value,frontier08893,1248.994132
32,4,24,DimeNet,4,1,-16850.66016,29,DONE,553.8306198,some_value,frontier09056,822.2215502
32,2,12,DimeNet,2,2,-20454.48828,124,DONE,2282.499802,some_value,frontier08677,2476.140394
32,4,12,DimeNet,3,2,-21312.71094,3,DONE,0.052917957,some_value,frontier08425,236.6011589
32,2,4,PNA,3,1,-23113.91406,151,DONE,2761.569977,some_value,frontier09056,3047.208846
32,2,4,PNA,3,2,-45862.73438,143,DONE,2591.262096,some_value,frontier08553,2781.719044
64,2,4,PNA,2,2,-125312.0703,39,DONE,746.6806991,some_value,frontier08041,910.3882444
32,4,4,PNA,2,2,-162311.9688,157,DONE,2875.302817,some_value,frontier08297,3047.209434
