p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,0,29,DimeNet,2,2,-54.95038223,127,DONE,2124.594364,some_value,frontier01648,2280.814013
32,0,32,DimeNet,1,2,-63.36629105,153,DONE,2641.154367,some_value,frontier03184,2878.864745
64,0,32,DimeNet,3,2,-65.85842896,89,DONE,1376.1749,some_value,frontier02673,1557.060954
64,0,32,DimeNet,2,2,-66.66799164,126,DONE,2112.595541,some_value,frontier03057,2268.230209
32,0,24,DimeNet,3,2,-84.87529755,60,DONE,834.5656717,some_value,frontier01648,1015.00495
32,0,21,DimeNet,1,1,-90.35267639,27,DONE,335.2024314,some_value,frontier01264,466.1412053
32,0,24,DimeNet,1,1,-90.9393158,98,DONE,1550.206313,some_value,frontier02800,1682.484179
64,0,24,DimeNet,3,2,-94.48712158,74,DONE,1141.319632,some_value,frontier00882,1320.463382
32,0,24,DimeNet,3,1,-95.17353821,43,DONE,596.2987416,some_value,frontier01264,775.8718731
32,0,29,DimeNet,3,2,-96.87480927,92,DONE,1416.558358,some_value,frontier03057,1595.878063
64,0,20,DimeNet,2,2,-102.8158798,52,DONE,717.677563,some_value,frontier01007,872.7421739
64,0,29,DimeNet,4,2,-103.2715759,93,DONE,1420.177141,some_value,frontier01264,1625.039342
32,0,24,DimeNet,2,1,-126.3420868,8,DONE,0.053133726,some_value,frontier03057,165.0634291
32,0,30,DimeNet,2,2,-127.8508682,117,DONE,1946.155098,some_value,frontier03184,2101.328867
32,0,19,DimeNet,1,1,-133.592865,37,DONE,466.4759095,some_value,frontier01264,596.1130714
64,0,29,DimeNet,3,2,-135.2952271,85,DONE,1324.872734,some_value,frontier01138,1504.526858
32,0,20,DimeNet,2,1,-135.2956848,157,DONE,2702.627386,some_value,frontier02673,2878.864542
64,0,30,DimeNet,3,2,-137.2908478,87,DONE,1357.906635,some_value,frontier03184,1537.965738
64,0,20,DimeNet,2,1,-141.5153503,66,DONE,990.9248664,some_value,frontier01138,1146.017688
64,0,25,DimeNet,3,2,-148.4938965,155,DONE,2674.83531,some_value,frontier03057,2878.865746
32,0,18,DimeNet,2,2,-148.971344,51,DONE,680.3345804,some_value,frontier02673,835.9185228
32,0,24,DimeNet,1,2,-150.8926392,24,DONE,293.6558654,some_value,frontier01138,425.93171
32,0,26,DimeNet,3,2,-151.0445099,64,DONE,982.9135051,some_value,frontier02800,1163.456944
64,0,24,DimeNet,3,1,-152.0844574,75,DONE,1146.179777,some_value,frontier01138,1324.723633
32,0,31,DimeNet,1,2,-152.4040985,25,DONE,316.8613768,some_value,frontier01648,449.3082471
64,0,6,DimeNet,6,1,-155.6977692,53,DONE,755.0585206,some_value,frontier03057,1008.272924
32,0,23,DimeNet,2,1,-156.4174652,33,DONE,395.5319674,some_value,frontier02673,551.0397148
64,0,8,DimeNet,6,1,-158.2870331,131,DONE,2183.845258,some_value,frontier00882,2439.310094
32,0,20,DimeNet,2,2,-160.140625,48,DONE,655.0420101,some_value,frontier01138,811.3236344
64,0,26,DimeNet,2,1,-165.726532,149,DONE,2569.544025,some_value,frontier00882,2723.564409
32,0,32,DimeNet,4,1,-168.495697,100,DONE,1558.323472,some_value,frontier01648,1762.994692
64,0,30,DimeNet,3,1,-169.8002014,96,DONE,1538.127974,some_value,frontier03184,1716.67741
32,0,30,DimeNet,4,1,-177.4569702,140,DONE,2417.22273,some_value,frontier01264,2620.743093
32,0,21,DimeNet,3,1,-178.6387024,55,DONE,776.0315278,some_value,frontier01264,953.8791912
32,0,29,DimeNet,4,2,-180.654541,110,DONE,1751.168409,some_value,frontier00755,1958.179395
64,0,21,DimeNet,6,2,-182.7569885,7,DONE,0.053022385,some_value,frontier02800,264.8926775
32,0,27,DimeNet,1,2,-188.0853424,31,DONE,372.829628,some_value,frontier03184,503.6715419
32,0,24,DimeNet,4,1,-192.7370758,44,DONE,602.1216223,some_value,frontier00882,806.7793131
64,0,27,DimeNet,3,2,-194.4451141,90,DONE,1377.100681,some_value,frontier01648,1558.163241
64,0,30,DimeNet,2,2,-199.482254,128,DONE,2140.008111,some_value,frontier00755,2297.93067
32,0,23,DimeNet,3,2,-203.2315369,71,DONE,1019.634439,some_value,frontier03184,1199.738379
64,0,21,DimeNet,1,1,-208.061615,73,DONE,1134.13902,some_value,frontier01264,1264.333415
32,0,24,DimeNet,2,2,-216.0522919,65,DONE,985.5119643,some_value,frontier00882,1140.969165
64,0,24,DimeNet,2,1,-216.1569824,145,DONE,2461.433321,some_value,frontier01007,2616.626348
64,0,29,DimeNet,1,2,-217.4737854,154,DONE,2653.976095,some_value,frontier01138,2878.863815
64,0,30,EGNN,2,1,-226.6737366,23,DONE,292.1858797,some_value,frontier03057,395.0492222
64,0,7,DimeNet,6,1,-226.7442627,139,DONE,2399.281025,some_value,frontier01138,2653.76468
32,0,21,DimeNet,1,2,-228.9972229,156,DONE,2684.574901,some_value,frontier02800,2878.864285
64,0,32,DimeNet,3,1,-230.1449738,99,DONE,1557.240278,some_value,frontier02673,1737.011483
32,0,15,DimeNet,1,1,-231.7953644,41,DONE,526.7295642,some_value,frontier00755,659.3379879
64,0,28,DimeNet,2,1,-234.4044342,158,DONE,2723.71456,some_value,frontier00882,2878.865339
64,0,32,DimeNet,2,1,-249.9743042,101,DONE,1594.03857,some_value,frontier01007,1748.809941
64,0,30,DimeNet,4,2,-251.5502014,104,DONE,1682.644847,some_value,frontier02800,1888.382192
32,0,17,DimeNet,2,2,-254.5454407,80,DONE,1199.889174,some_value,frontier03184,1357.75777
32,0,31,DimeNet,2,2,-254.8699036,137,DONE,2281.325116,some_value,frontier03184,2437.327415
64,0,30,DimeNet,6,2,-257.2850037,109,DONE,1748.960745,some_value,frontier01007,2004.187494
64,0,21,DimeNet,2,2,-261.0675659,123,DONE,2009.564733,some_value,frontier01264,2164.760781
32,0,29,DimeNet,4,1,-264.2217102,141,DONE,2437.489185,some_value,frontier03184,2640.973051
64,0,28,DimeNet,3,2,-266.9284058,84,DONE,1320.623098,some_value,frontier00882,1499.776449
32,0,29,DimeNet,5,2,-269.409729,107,DONE,1716.831127,some_value,frontier03184,1945.989644
64,0,30,DimeNet,5,2,-275.8891602,106,DONE,1703.969117,some_value,frontier00882,1931.613341
64,0,24,DimeNet,1,1,-277.5988159,142,DONE,2439.482258,some_value,frontier00882,2569.186454
