p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,4,32,DimeNet,4,1,-7.50E-05,52,DONE,2127.848343,some_value,frontier06632,2835.194894
64,2,32,DimeNet,2,1,-9.04E-05,117,DONE,5829.848695,some_value,frontier10217,6394.201102
32,4,24,DimeNet,5,1,-9.77E-05,116,DONE,5773.227725,some_value,frontier03830,6557.475191
64,4,32,DimeNet,2,1,-0.00010326,57,DONE,2395.185588,some_value,frontier03830,2958.280928
32,4,24,DimeNet,3,1,-0.00010672,107,DONE,5215.157122,some_value,frontier09058,5856.073002
32,4,24,DimeNet,2,1,-0.00011517,114,DONE,5566.040798,some_value,frontier06890,6132.591276
32,4,24,DimeNet,4,1,-0.00012224,71,DONE,3106.51778,some_value,frontier09440,3813.069355
32,4,24,DimeNet,4,2,-0.00012396,120,DONE,5948.274163,some_value,frontier03700,6663.377157
32,4,24,DimeNet,2,2,-0.0001257,118,DONE,5856.23484,some_value,frontier09058,6425.260215
32,4,32,DimeNet,6,1,-0.00014028,70,DONE,3087.243428,some_value,frontier03700,3945.406155
64,4,24,DimeNet,3,1,-0.00014526,38,DONE,1374.739933,some_value,frontier03700,2015.558497
32,2,16,DimeNet,4,1,-0.00014829,45,DONE,1688.13474,some_value,frontier03830,2395.026779
32,2,12,DimeNet,2,2,-0.00014969,90,DONE,4067.578314,some_value,frontier03830,4641.037494
32,2,12,EGNN,4,1,-0.00015064,5,DONE,0.052923203,some_value,frontier06890,380.9862761
32,2,4,DimeNet,1,2,-0.00015512,43,DONE,1631.2564,some_value,frontier06632,2127.699593
32,2,16,DimeNet,2,2,-0.00015579,93,DONE,4220.295099,some_value,frontier06765,4792.087457
32,2,24,DimeNet,5,1,-0.00015711,39,DONE,1475.006263,some_value,frontier09440,2254.608603
32,4,4,DimeNet,1,2,-0.00017309,96,DONE,4594.604004,some_value,frontier03700,5093.833774
32,4,4,DimeNet,3,2,-0.00018096,100,DONE,4756.983142,some_value,frontier09331,5397.753941
64,4,32,DimeNet,6,1,-0.0001851,53,DONE,2254.757473,some_value,frontier09440,3106.359031
64,4,32,DimeNet,5,1,-0.00019824,65,DONE,2835.361336,some_value,frontier06632,3613.595109
32,2,4,DimeNet,6,2,-0.00019844,6,DONE,0.053033352,some_value,frontier09058,858.9478805
32,2,8,EGNN,4,1,-0.0002,62,DONE,2714.773825,some_value,frontier09331,3075.249817
64,2,32,DimeNet,3,1,-0.00020035,49,DONE,2015.717643,some_value,frontier03700,2655.024483
32,4,16,DimeNet,2,1,-0.00020313,8,DONE,0.05325532,some_value,frontier09440,571.2423484
32,2,16,DimeNet,3,1,-0.00020392,97,DONE,4641.195204,some_value,frontier03830,5280.869871
64,4,24,DimeNet,4,1,-0.00020554,69,DONE,3075.40874,some_value,frontier09331,3784.291726
32,4,16,DimeNet,4,1,-0.00020694,83,DONE,3813.216733,some_value,frontier09440,4518.441933
