p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,4,32,PAINN,4,1,-7.10E-05,44,DONE,1033.476375,some_value,frontier03572,1319.7082
64,2,24,PAINN,2,1,-7.87E-05,151,DONE,4108.65941,some_value,frontier05756,4595.563828
64,2,24,PAINN,6,2,-9.51E-05,7,DONE,0.052135706,some_value,frontier05877,362.5596242
64,4,8,PAINN,4,1,-9.86E-05,146,DONE,3935.109449,some_value,frontier05877,4242.955484
64,2,32,PAINN,4,1,-0.00010549,31,DONE,690.0156627,some_value,frontier01151,979.2653406
32,2,8,PAINN,6,1,-0.00010831,93,DONE,2521.814585,some_value,frontier06910,2874.247984
64,2,8,PAINN,4,1,-0.00011016,135,DONE,3644.506183,some_value,frontier05877,3934.888769
64,4,8,PAINN,6,2,-0.00011163,58,DONE,1444.383666,some_value,frontier02286,1799.007554
32,4,8,PAINN,6,2,-0.00011914,126,DONE,3396.659449,some_value,frontier05756,3752.333666
64,4,8,PAINN,6,1,-0.00012001,81,DONE,2154.420107,some_value,frontier02286,2509.051532
32,4,24,PAINN,4,2,-0.00012335,125,DONE,3394.695523,some_value,frontier03572,3682.68794
64,4,24,PAINN,3,2,-0.00012392,105,DONE,2866.010326,some_value,frontier04598,3117.22785
64,2,24,PAINN,5,2,-0.00012697,19,DONE,364.0449572,some_value,frontier01151,689.8533263
32,2,16,PAINN,1,1,-0.00012765,32,DONE,697.657155,some_value,frontier02156,867.0241113
64,4,24,PAINN,4,2,-0.00013136,69,DONE,1794.544587,some_value,frontier07168,2082.692219
32,2,24,PAINN,2,1,-0.00013204,29,DONE,664.8414772,some_value,frontier02028,886.9582753
32,2,8,PAINN,1,1,-0.00013219,108,DONE,2966.126375,some_value,frontier02028,3152.298243
32,2,8,PAINN,6,2,-0.00013279,132,DONE,3504.19225,some_value,frontier01151,3860.547038
32,2,24,PAINN,3,1,-0.00013329,91,DONE,2468.682736,some_value,frontier01151,2724.601646
