p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,0,32,EGNN,5,2,-0.00010177,128,DONE,2519.182213,some_value,frontier02034,2701.814302
64,0,30,EGNN,4,2,-0.00010366,98,DONE,1793.636685,some_value,frontier01534,1970.786399
32,0,31,EGNN,6,2,-0.00010423,115,DONE,2133.909669,some_value,frontier01660,2326.042506
32,0,31,EGNN,5,2,-0.00010947,127,DONE,2477.08061,some_value,frontier01915,2659.490637
32,0,31,EGNN,4,2,-0.00011077,154,DONE,3019.008577,some_value,frontier01915,3227.638801
64,0,28,EGNN,3,1,-0.00011151,129,DONE,2520.898036,some_value,frontier01782,2685.473788
32,0,32,EGNN,6,1,-0.00011465,136,DONE,2685.636184,some_value,frontier01782,2874.425227
32,0,29,EGNN,4,2,-0.0001167,103,DONE,1928.500839,some_value,frontier01915,2103.867784
64,0,29,EGNN,3,1,-0.00011712,112,DONE,2088.097174,some_value,frontier01150,2260.110848
64,0,27,EGNN,3,1,-0.00012041,102,DONE,1917.567932,some_value,frontier01150,2087.798045
64,0,25,EGNN,4,1,-0.00012091,106,DONE,1963.128647,some_value,frontier02166,2138.440067
64,0,31,EGNN,4,2,-0.00012542,88,DONE,1618.613884,some_value,frontier01534,1793.465246
32,0,32,EGNN,4,2,-0.00012599,155,DONE,3021.581958,some_value,frontier02034,3227.638989
32,0,25,EGNN,3,2,-0.00012718,142,DONE,2816.965194,some_value,frontier01150,2986.608758
32,0,25,EGNN,3,1,-0.00013199,69,DONE,1289.021833,some_value,frontier01782,1454.945723
64,0,25,EGNN,3,2,-0.00013231,75,DONE,1429.877903,some_value,frontier02034,1598.534841
64,0,30,EGNN,4,1,-0.00013714,158,DONE,3055.632385,some_value,frontier01782,3227.63816
32,0,25,EGNN,4,1,-0.00013918,94,DONE,1773.061268,some_value,frontier01660,1949.320365
32,0,27,EGNN,3,1,-0.00013924,68,DONE,1272.799788,some_value,frontier02544,1439.678733
64,0,32,EGNN,3,2,-0.00013931,77,DONE,1446.686302,some_value,frontier02166,1616.417105
64,0,22,EGNN,3,2,-0.00014117,64,DONE,1254.063017,some_value,frontier02684,1422.121208
32,0,29,EGNN,3,2,-0.00014194,119,DONE,2161.499938,some_value,frontier01534,2328.554067
32,0,31,EGNN,5,1,-0.00014219,132,DONE,2632.518082,some_value,frontier01150,2816.814905
32,0,22,EGNN,3,2,-0.00014332,56,DONE,1059.951033,some_value,frontier01915,1229.963612
32,0,27,EGNN,3,2,-0.00014446,150,DONE,2926.589805,some_value,frontier01534,3227.637508
64,0,31,EGNN,5,2,-0.00014704,89,DONE,1622.542283,some_value,frontier01782,1804.176569
64,0,30,EGNN,5,2,-0.00014759,146,DONE,2874.588845,some_value,frontier01782,3055.469218
32,0,22,EGNN,4,1,-0.00015353,63,DONE,1253.14985,some_value,frontier01660,1429.099927
64,0,28,EGNN,4,2,-0.00015604,109,DONE,1979.298182,some_value,frontier01782,2153.304354
32,0,28,EGNN,4,2,-0.00015836,141,DONE,2798.743045,some_value,frontier02684,2974.622059
32,0,20,EGNN,6,2,-0.00016038,26,DONE,520.8766186,some_value,frontier01660,712.6829176
64,0,26,EGNN,3,2,-0.00016136,79,DONE,1455.106692,some_value,frontier01782,1622.371727
32,0,21,EGNN,6,2,-0.00016187,31,DONE,616.0980446,some_value,frontier02427,819.8032446
64,0,29,EGNN,2,1,-0.00016379,145,DONE,2863.505684,some_value,frontier02034,3021.381613
32,0,31,EGNN,3,2,-0.00016478,130,DONE,2557.006907,some_value,frontier02427,2723.083525
32,0,30,EGNN,6,2,-0.000167,107,DONE,1970.960529,some_value,frontier01534,2161.337842
32,0,32,EGNN,4,1,-0.00016737,140,DONE,2752.944693,some_value,frontier01534,2926.224157
32,0,32,EGNN,6,2,-0.00017153,152,DONE,2986.760817,some_value,frontier01150,3227.638401
32,0,22,EGNN,5,2,-0.00017195,67,DONE,1267.03381,some_value,frontier01534,1449.828782
64,0,27,EGNN,3,2,-0.00017372,78,DONE,1450.014664,some_value,frontier01534,1618.450368
32,0,25,EGNN,2,1,-0.00017389,80,DONE,1510.738467,some_value,frontier02427,1671.25058
64,0,29,EGNN,5,2,-0.00017815,105,DONE,1949.507678,some_value,frontier01660,2133.731883
64,0,32,EGNN,3,1,-0.00017982,90,DONE,1671.421746,some_value,frontier02427,1837.51461
64,0,32,EGNN,5,1,-0.00017996,92,DONE,1744.805065,some_value,frontier01915,1928.311978
64,0,31,EGNN,4,1,-0.00018026,99,DONE,1804.552002,some_value,frontier01782,1979.149253
32,0,30,EGNN,3,2,-0.00018234,153,DONE,3003.946935,some_value,frontier02544,3227.637894
32,0,22,EGNN,5,1,-0.00018239,65,DONE,1260.554945,some_value,frontier02166,1446.504704
32,0,27,EGNN,4,1,-0.00018386,156,DONE,3026.677119,some_value,frontier02166,3227.639382
64,0,25,EGNN,3,1,-0.00018456,100,DONE,1837.675135,some_value,frontier02427,2004.563931
32,0,26,EGNN,3,2,-0.00018524,151,DONE,2974.786392,some_value,frontier02684,3227.638605
32,0,19,EGNN,6,2,-0.00018845,25,DONE,485.8598645,some_value,frontier02544,676.2221832
32,0,19,EGNN,5,2,-0.00018938,27,DONE,521.9986851,some_value,frontier01782,704.2974527
32,0,22,EGNN,3,1,-0.00019353,71,DONE,1407.790663,some_value,frontier01150,1577.572887
32,0,21,EGNN,3,2,-0.00019377,39,DONE,718.7073374,some_value,frontier01534,885.7463291
32,0,22,EGNN,4,2,-0.00019486,62,DONE,1230.326142,some_value,frontier01915,1408.042856
64,0,29,EGNN,4,2,-0.00019782,104,DONE,1945.922163,some_value,frontier02544,2121.289586
32,0,27,EGNN,2,1,-0.0002035,83,DONE,1589.42728,some_value,frontier02684,1748.379537
64,0,24,EGNN,4,1,-0.00020787,116,DONE,2138.604405,some_value,frontier02166,2314.499045
32,0,24,EGNN,3,1,-0.00020967,66,DONE,1262.032645,some_value,frontier02034,1429.681833
32,0,29,EGNN,3,1,-0.00021025,70,DONE,1344.742428,some_value,frontier02427,1510.587198
64,0,30,EGNN,3,2,-0.00021283,93,DONE,1748.563415,some_value,frontier02684,1916.544286
64,0,32,EGNN,6,1,-0.00021318,95,DONE,1780.454973,some_value,frontier02034,1972.138841
64,0,32,EGNN,4,1,-0.00021353,91,DONE,1739.579839,some_value,frontier01150,1917.419399
32,0,26,EGNN,3,1,-0.00021412,111,DONE,2085.609699,some_value,frontier02684,2252.47926
32,0,23,EGNN,3,2,-0.00021493,81,DONE,1576.21396,some_value,frontier01915,1744.619828
32,0,32,EGNN,2,2,-0.00021928,137,DONE,2702.192245,some_value,frontier02034,2863.319281
32,0,20,EGNN,6,1,-0.00021957,55,DONE,1058.607,some_value,frontier01660,1252.937169
64,0,26,EGNN,4,2,-0.00021966,86,DONE,1607.774088,some_value,frontier02544,1783.762129
64,0,22,EGNN,2,2,-0.00022252,157,DONE,3039.704259,some_value,frontier02427,3227.639187
64,0,28,EGNN,3,2,-0.00022305,138,DONE,2723.244086,some_value,frontier02427,2890.485791
32,0,21,EGNN,2,2,-0.00022363,40,DONE,819.2177503,some_value,frontier01150,981.8747258
32,0,32,EGNN,5,1,-0.00022578,133,DONE,2654.289281,some_value,frontier02544,2835.547564
