p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,4,32,PNA,5,2,-0.97432661,10,DONE,199.4454391,some_value,frontier07402,589.0211873
64,2,32,PNA,5,2,-1.05525148,32,DONE,798.4462631,some_value,frontier08047,1191.447937
32,4,32,PNA,6,2,-1.08684278,21,DONE,444.2249513,some_value,frontier08191,882.3745749
64,4,32,PNA,6,1,-1.10501909,72,DONE,2157.057902,some_value,frontier07662,2594.39024
64,2,32,PNA,5,1,-1.12530184,41,DONE,1034.165462,some_value,frontier07402,1422.657702
32,4,24,PNA,5,2,-1.12678838,35,DONE,938.6624117,some_value,frontier06769,1329.837324
32,2,32,PNA,5,2,-1.13745987,33,DONE,876.6088314,some_value,frontier07281,1267.059325
32,4,32,PNA,6,1,-1.14244175,71,DONE,2113.98188,some_value,frontier07793,2549.527039
64,4,32,PNA,6,2,-1.15761185,9,DONE,0.053683043,some_value,frontier08191,444.0501826
32,2,32,PNA,5,1,-1.18758321,40,DONE,1012.372378,some_value,frontier07793,1400.283256
32,4,32,PNA,3,1,-1.19036436,67,DONE,1932.038878,some_value,frontier07281,2225.57158
64,2,32,PNA,6,2,-1.19999647,95,DONE,3014.579779,some_value,frontier07402,3449.688893
64,2,24,PNA,4,2,-1.2210716,75,DONE,2225.720437,some_value,frontier07281,2568.102596
64,4,32,PNA,3,1,-1.2286303,1,DONE,0.052723646,some_value,frontier06768,300.9485021
64,2,32,PNA,6,1,-1.24855614,84,DONE,2594.548552,some_value,frontier07662,3032.786116
32,2,32,PNA,4,1,-1.26527071,90,DONE,2832.691438,some_value,frontier07920,3175.48015
32,4,24,PNA,6,2,-1.26598048,73,DONE,2162.892214,some_value,frontier06510,2605.174122
32,2,32,PNA,6,2,-1.27378988,36,DONE,950.1908059,some_value,frontier06510,1393.285563
64,2,32,PNA,4,2,-1.28695297,38,DONE,982.868125,some_value,frontier07662,1327.681386
64,2,24,PNA,4,1,-1.30129862,94,DONE,2984.229467,some_value,frontier07793,3323.969026
64,2,24,PNA,6,2,-1.30826068,85,DONE,2605.310323,some_value,frontier06510,3047.632153
64,4,24,PNA,6,2,-1.30959415,98,DONE,3047.769391,some_value,frontier06510,3490.653887
32,2,24,PNA,4,2,-1.31534207,48,DONE,1329.994609,some_value,frontier06769,1672.971994
32,4,24,PNA,4,1,-1.31556165,52,DONE,1476.82846,some_value,frontier08047,1817.927935
32,2,24,PNA,4,1,-1.31849849,53,DONE,1552.045639,some_value,frontier06768,1893.53538
64,2,24,PNA,5,1,-1.31873369,92,DONE,2909.229426,some_value,frontier07281,3296.823334
64,4,24,PNA,6,1,-1.3219192,102,DONE,3271.050853,some_value,frontier08191,3707.584559
32,2,32,PNA,3,1,-1.32201707,68,DONE,2036.84773,some_value,frontier07402,2329.384483
