p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
64,2,4,GAT,2,2,-1.9077704,2,DONE,0.05379891395568848,some_value,frontier07018,149.78464126586914
64,4,8,GAT,2,1,-1.88783348,4,DONE,0.05406332015991211,some_value,frontier07274,153.02866196632385
32,4,16,GAT,2,1,-2.06227684,8,DONE,0.05457019805908203,some_value,frontier07785,153.96719908714294
32,4,12,GAT,3,2,-1.63559878,3,DONE,0.05392932891845703,some_value,frontier07146,175.2019693851471
64,4,32,PNA,3,1,-1.85963905,1,DONE,0.0536646842956543,some_value,frontier05880,237.13829970359802
32,4,12,GAT,6,1,-1.63068914,0,DONE,0.05340695381164551,some_value,frontier04728,249.90036177635193
32,2,4,GAT,6,2,-1.7379359,6,DONE,0.054296016693115234,some_value,frontier07530,258.7057406902313
64,2,24,GAT,6,2,-1.41440523,7,DONE,0.054427385330200195,some_value,frontier07658,259.71692299842834
32,2,12,PNA,4,1,-1.60469103,5,DONE,0.05419039726257324,some_value,frontier07404,262.9531252384186
64,4,16,GAT,1,2,-1.76754618,11,DONE,153.07918214797974,some_value,frontier07274,287.0011537075043
32,2,12,PNA,1,2,-3.96449661,12,DONE,153.99251174926758,some_value,frontier07785,313.78321051597595
64,4,32,PNA,6,2,-0.91343153,9,DONE,0.054683685302734375,some_value,frontier07913,319.123863697052
64,4,32,GAT,2,1,-1.73529398,18,DONE,262.98912143707275,some_value,frontier07404,397.4993853569031
64,2,16,PNA,2,1,-1.31852436,14,DONE,237.3294928073883,some_value,frontier05880,422.51450872421265
64,4,32,PNA,5,2,-1.12176681,10,DONE,149.82746195793152,some_value,frontier07018,422.67042541503906
64,4,32,PNA,2,1,-2.18247414,15,DONE,249.92675828933716,some_value,frontier04728,436.6487498283386
32,4,16,PNA,6,1,-1.57558978,13,DONE,175.2279691696167,some_value,frontier07146,474.21934270858765
64,2,32,GAT,5,2,-4.19129562,19,DONE,287.1615614891052,some_value,frontier07274,498.94157791137695
64,2,8,PNA,4,2,-2.69701958,17,DONE,259.75593423843384,some_value,frontier07658,505.9313621520996
64,4,8,PNA,5,2,-1.81405914,16,DONE,258.74364018440247,some_value,frontier07530,528.7098572254181
64,2,12,PNA,1,1,-3.35918331,23,DONE,422.66972756385803,some_value,frontier05880,578.2536354064941
64,2,12,PNA,1,2,-3.16340876,24,DONE,422.8244435787201,some_value,frontier07018,580.5368466377258
64,4,32,PNA,5,1,-1.18925858,21,DONE,319.2918725013733,some_value,frontier07913,588.8679134845734
64,2,32,GAT,2,1,-1.47922504,26,DONE,474.3829302787781,some_value,frontier07146,607.4638440608978
64,4,32,PNA,6,1,-1.16008258,20,DONE,313.9157340526581,some_value,frontier07785,616.9294657707214
64,2,32,PNA,2,2,-1.21603394,25,DONE,436.78084087371826,some_value,frontier04728,625.0269246101379
64,2,32,PNA,5,2,-1.02104521,22,DONE,397.66803073883057,some_value,frontier07404,670.1596202850342
64,2,32,PNA,2,1,-1.65404773,27,DONE,499.07714080810547,some_value,frontier07274,685.1935114860535
64,4,32,GAT,5,2,-4.19129562,29,DONE,528.8787367343903,some_value,frontier07530,738.4139246940613
64,2,24,PNA,5,2,-1.18996525,28,DONE,506.10099244117737,some_value,frontier07658,779.7763221263885
32,4,32,GAT,5,2,-4.19157267,30,DONE,578.6036877632141,some_value,frontier05880,791.3733224868774
64,4,32,GAT,5,1,-1.64775085,32,DONE,589.0208487510681,some_value,frontier07913,798.8549041748047
32,4,32,GAT,5,1,-1.68596721,33,DONE,607.6085429191589,some_value,frontier07146,818.2712743282318
64,4,32,GAT,6,2,-2.48035526,35,DONE,625.1582734584808,some_value,frontier04728,866.1492462158203
64,2,32,PNA,6,2,-1.2110889,31,DONE,580.6949369907379,some_value,frontier07018,882.4122881889343
32,2,32,PNA,5,2,-1.00106919,34,DONE,617.0731472969055,some_value,frontier07785,892.30628490448
64,2,24,PNA,4,2,-1.32774925,37,DONE,685.3399038314819,some_value,frontier07274,928.8368186950684
64,2,24,PNA,6,2,-1.08176351,36,DONE,670.3292858600616,some_value,frontier07404,970.8942396640778
32,2,16,PNA,2,2,-1.43230593,41,DONE,799.0007157325745,some_value,frontier07913,985.1234583854675
64,2,32,GAT,6,2,-1.37900853,40,DONE,791.5281164646149,some_value,frontier05880,1032.1415786743164
64,4,24,PNA,6,2,-1.47278154,38,DONE,738.5602312088013,some_value,frontier07530,1039.782428264618
64,4,32,PNA,4,2,-1.00360394,42,DONE,818.4174330234528,some_value,frontier07146,1064.5107131004333
32,2,32,PNA,6,2,-0.96913075,39,DONE,779.9102301597595,some_value,frontier07658,1084.5729417800903
32,2,32,PNA,1,2,-1.47944641,46,DONE,928.9930634498596,some_value,frontier07274,1085.7994163036346
64,2,32,PNA,4,2,-1.07699227,43,DONE,866.2838656902313,some_value,frontier04728,1113.089459180832
64,4,24,PNA,4,2,-1.13346469,44,DONE,882.5777254104614,some_value,frontier07018,1128.4606075286865
32,2,24,PNA,1,2,-1.68649149,47,DONE,971.2370319366455,some_value,frontier07404,1129.0797612667084
32,4,32,PNA,4,2,-1.21488309,45,DONE,892.4636545181274,some_value,frontier07785,1139.8657371997833
64,2,32,PNA,1,2,-2.2840519,50,DONE,1039.9300982952118,some_value,frontier07530,1196.5525958538055
32,4,32,PNA,3,2,-1.6152308,51,DONE,1064.6697924137115,some_value,frontier07146,1280.5077538490295
32,4,24,PNA,6,2,-1.42707944,48,DONE,985.2809822559357,some_value,frontier07913,1285.4195940494537
64,4,32,PNA,3,2,-1.08545268,53,DONE,1085.9567608833313,some_value,frontier07274,1301.5144770145416
64,4,24,PNA,2,2,-1.43495774,55,DONE,1128.6244440078735,some_value,frontier07018,1317.290925502777
32,4,32,PNA,4,1,-2.09807253,52,DONE,1084.7188441753387,some_value,frontier07658,1329.0109918117523
64,2,16,PNA,6,2,-1.02393818,49,DONE,1032.2882034778595,some_value,frontier05880,1335.9703710079193
