p:dim_headlayers,p:global_attn_heads,p:hidden_dim,p:mpnn_type,p:num_conv_layers,p:num_headlayers,objective,job_id,job_status,m:timestamp_submit,m:some_info,m:dequed,m:timestamp_gather
32,0,28,PNA,6,2,-1.03834689,75,DONE,1105.537406,some_value,frontier02030,1328.086933
32,0,29,PNA,6,1,-1.15923274,128,DONE,2069.086384,some_value,frontier02287,2290.085549
64,0,28,PNA,5,2,-1.23111451,98,DONE,1548.824052,some_value,frontier02030,1754.416183
32,0,28,PNA,5,2,-1.33709431,77,DONE,1125.75447,some_value,frontier02411,1330.431383
64,0,28,PNA,4,1,-1.34148872,81,DONE,1244.955244,some_value,frontier01278,1433.870686
32,0,31,PNA,6,1,-1.37961245,147,DONE,2441.337209,some_value,frontier02030,2809.269113
64,0,28,PNA,6,2,-1.69083762,53,DONE,703.5121984,some_value,frontier01532,929.8864565
64,0,29,PNA,5,1,-1.70108867,155,DONE,2604.710038,some_value,frontier01148,2809.268722
32,0,29,PNA,5,1,-1.72957122,138,DONE,2277.110544,some_value,frontier02411,2481.814659
64,0,29,PNA,3,1,-1.80083466,85,DONE,1287.459756,some_value,frontier00760,1462.542412
32,0,29,PNA,4,1,-1.82319689,61,DONE,835.6906736,some_value,frontier01278,1023.405038
64,0,28,PNA,3,2,-1.93215585,132,DONE,2205.610649,some_value,frontier01278,2379.511637
64,0,28,PNA,6,1,-1.96780646,86,DONE,1299.254329,some_value,frontier01779,1519.401714
32,0,28,PNA,4,1,-2.24417257,56,DONE,745.4381242,some_value,frontier02030,932.2880688
32,0,28,PNA,4,2,-2.25592756,68,DONE,955.1331658,some_value,frontier01909,1143.470639
64,0,31,PNA,3,1,-2.37221289,113,DONE,1815.487402,some_value,frontier01148,1989.046017
64,0,29,PNA,3,2,-2.40609503,123,DONE,2031.767297,some_value,frontier01278,2205.253617
64,0,29,PNA,6,1,-2.51475716,140,DONE,2332.803555,some_value,frontier01909,2550.486287
32,0,24,PNA,6,2,-2.56465816,95,DONE,1485.232277,some_value,frontier02538,1707.058258
32,0,32,PNA,4,1,-2.64261818,66,DONE,936.3648641,some_value,frontier02411,1125.583556
64,0,27,PNA,4,1,-2.69866943,145,DONE,2428.584728,some_value,frontier01779,2616.662595
32,0,28,PNA,3,1,-2.79682875,65,DONE,932.4472291,some_value,frontier02030,1105.34178
64,0,24,PNA,6,2,-2.83392692,76,DONE,1109.371875,some_value,frontier02287,1331.168035
64,0,28,PNA,1,2,-2.85636234,141,DONE,2334.763416,some_value,frontier01532,2476.786458
64,0,28,PNA,3,1,-2.89284754,84,DONE,1276.839054,some_value,frontier01148,1452.060893
64,0,28,PNA,2,2,-3.05224323,142,DONE,2379.66891,some_value,frontier01278,2537.661534
32,0,24,PNA,6,1,-3.1011467,133,DONE,2209.758244,some_value,frontier02538,2429.605827
64,0,31,PNA,6,1,-3.13627291,116,DONE,1896.354462,some_value,frontier01909,2113.679804
64,0,29,PNA,1,1,-3.1602807,107,DONE,1742.499676,some_value,frontier02411,1882.860103
32,0,24,GAT,2,1,-3.20519066,8,DONE,0.053566217,some_value,frontier02411,109.7282457
64,0,26,GAT,1,2,-3.22869873,11,DONE,110.0959346,some_value,frontier02411,210.4898031
32,0,30,PNA,4,2,-3.26021886,43,DONE,555.8323092,some_value,frontier02030,745.2567487
